username_name,username_rating,username_inital_statement,username_country,username_verified,username_review,username_usefulness
Shariel Camacho,5.0 out of 5 stars,De segunda mano lo compre pero llego como si nunca se hubiera usado,"Reviewed in the United States 🇺🇸 on July 18, 2021",Verified Purchase,Excelente producto muy buen sonido,
Everett Robinson,5.0 out of 5 stars,Very satisfied with my purchase,"Reviewed in the United States 🇺🇸 on August 20, 2020",Verified Purchase,"The AirPods came in excellent condition. Very excited to use them. Now, if I can just change them from ‘marios’ ipods.",
Yogi Oncologist,1.0 out of 5 stars,Left earbud was malfunctioned from beginning,"Reviewed in the United States 🇺🇸 on August 12, 2022",Verified Purchase,"There was a buzzing sound in the left earbud, that intensified when volume was raised. Highly disappointing. And the return process is more complicated than normal Amazon returns, despite it being an Amazon official renewed item.",
Jayson Street,5.0 out of 5 stars,Perfect quality,"Reviewed in the United States 🇺🇸 on May 26, 2021",Verified Purchase,Came in original packaging and work perfect!,
Eric,1.0 out of 5 stars,Paired to previous owners Apple ID,"Reviewed in the United States 🇺🇸 on August 25, 2022",Verified Purchase,AirPods in good condition but we’re still paired to previous owners Apple ID and after speaking to Apple was unable to unpair. Don’t know why it was allowed to be sold with this.,
Anastazia pulido,1.0 out of 5 stars,The owner is still tracking the AirPods.,"Reviewed in the United States 🇺🇸 on November 14, 2022",Verified Purchase,The AirPod pros are nice clean and good just they are tracked.,
Alexander J Soult,5.0 out of 5 stars,Real AirPods. Very happy with price and quality.,"Reviewed in the United States 🇺🇸 on March 20, 2021",Verified Purchase,Awesome price. Verified they were not knockoffs when they came in.,
Boyd,5.0 out of 5 stars,Little price big package,"Reviewed in the United States 🇺🇸 on October 14, 2020",Verified Purchase,Came in box it was like a brand new pair I recommend if you want to save some money,
jere,3.0 out of 5 stars,its alright,"Reviewed in the United States 🇺🇸 on March 3, 2021",Verified Purchase,it makes a buzzing noise out of nowhere,
Linda A,1.0 out of 5 stars,Don't Buy This Product,"Reviewed in the United States 🇺🇸 on August 25, 2021",Verified Purchase,"I purchased this and had problems with it connecting and staying connected. The first ones were received in a beat up box and they were dirty so I doubt they were ""reconditioned"" Theseller replaced them with little problem. I've been fighting the same connection issues and VERY poor battery life with these replacement airpods and I discovered the return window closed YESTERDAY. It isn't worth saving a few dollars to get these renewed airpods. They clearly do the bare minimum to get the product to pass just long enough for the warranty period and then you will be out your money.",One person found this helpful
Vanhooty,1.0 out of 5 stars,Used/dirty,"Reviewed in the United States 🇺🇸 on October 26, 2022",Verified Purchase,Airpods came dirty and not factory reset. Case was damaged and pods had ear wax in them.,
Tatianna Alford,5.0 out of 5 stars,Purchase,"Reviewed in the United States 🇺🇸 on April 18, 2021",Verified Purchase,Came in original packaging works great and looks new,
Mis Kendra,2.0 out of 5 stars,Right ear speaker blown,"Reviewed in the United States 🇺🇸 on April 9, 2022",Verified Purchase,"Right ear sounds like the speaker is blown, otherwise as expected",
Sergio R Cardona,5.0 out of 5 stars,Get ahold proper case for them,"Reviewed in the United States 🇺🇸 on March 8, 2021",Verified Purchase,They work great good investment if you take care of them,
Jay Smoke,5.0 out of 5 stars,It’s like new,"Reviewed in the United States 🇺🇸 on September 4, 2021",Verified Purchase,,
Flore Summerville,2.0 out of 5 stars,The case charging is bad,"Reviewed in the United States 🇺🇸 on March 6, 2022",Verified Purchase,Have to charge my AirPods in my daughters case the one that came with mine don’t charge smh,
Paul D.,2.0 out of 5 stars,Some static and buzzing noise,"Reviewed in the United States 🇺🇸 on February 7, 2022",Verified Purchase,"Exactly what you expect for a refurbished device, audio sounds fine but there are some static and buzzing noise every now and then.",
Da Sharpener,5.0 out of 5 stars,Great Deal!,"Reviewed in the United States 🇺🇸 on July 8, 2021",Verified Purchase,"Fast shipping,great deal,recommended seller!",
Nathalia Fabrício,5.0 out of 5 stars,Great,"Reviewed in the United States 🇺🇸 on August 30, 2021",Verified Purchase,Great,
Kay bee,5.0 out of 5 stars,Works almost like new,"Reviewed in the United States 🇺🇸 on June 30, 2021",Verified Purchase,Battery life could be better,
Tammy,1.0 out of 5 stars,Not worth the $,"Reviewed in the United States 🇺🇸 on January 9, 2022",Verified Purchase,"My $40-60 ear buds have better sound quality, noise canceling, & connectivity than these $160 ear buds. My previous $40 pair had finally died after 3 years so my youngest (20 yr old) started bugging me to buy these as she has a pair & thinks their great….WORST PAIR OF EAR BUDS. I returned & bought another $60 pair & they are 10 times better than these apple overpriced junk! I would never buy these ear buds again, even though i do have an iphone, apple products are highly over rated!!",
Mauricio Alvarado,5.0 out of 5 stars,Renewed ? actually new,"Reviewed in the United States 🇺🇸 on April 7, 2021",Verified Purchase,everything was sharp just like a brand new item,
Alex Castro,5.0 out of 5 stars,Good product,"Reviewed in the United States 🇺🇸 on February 7, 2021",Verified Purchase,Battery life is not a wooowww but in general i recommended,
Michele Carras,1.0 out of 5 stars,Stopped working after a year,"Reviewed in the United States 🇺🇸 on November 17, 2022",Verified Purchase,Horrible they stopped working completely after a year,
Kelvin Ndemo,1.0 out of 5 stars,This product was completely spoiled,"Reviewed in the United States 🇺🇸 on November 19, 2022",Verified Purchase,The noise cancellation was poor sound quality poor,
Mindy L. Styer,5.0 out of 5 stars,Great value!,"Reviewed in the United States 🇺🇸 on July 6, 2021",Verified Purchase,"Great product, great value",
Casey Mallard,5.0 out of 5 stars,Best,"Reviewed in the United States 🇺🇸 on July 5, 2021",Verified Purchase,Best AirPods I have!!!,
Trenton Jones,2.0 out of 5 stars,Microphone barely works,"Reviewed in the United States 🇺🇸 on November 23, 2021",Verified Purchase,I got these refurbished airpods pro’s thinking everything was perfect but i found out through phone calls that the microphone barely works at all in the left ear and doesn’t at all in the right ear. :(,
Cedric Sicam,1.0 out of 5 stars,Hit or miss,"Reviewed in the United States 🇺🇸 on August 7, 2022",Verified Purchase,Unfortunately I ended up with a bad one the right side interior seems to be rattling when I move around and when the volumes high it also has a static sound such a bummer,
Me,5.0 out of 5 stars,AirPod pros,"Reviewed in the United States 🇺🇸 on May 13, 2021",Verified Purchase,Came in the real box nice quality.,
Minesh Patel,5.0 out of 5 stars,Good so far,"Reviewed in the United States 🇺🇸 on June 24, 2021",Verified Purchase,So far so good.,
tjswan,5.0 out of 5 stars,They Are Great,"Reviewed in the United States 🇺🇸 on April 19, 2021",Verified Purchase,Work perfectly fine no complaints definitely like these!,
Ronique Gibson,5.0 out of 5 stars,AirPods Pro like new!,"Reviewed in the United States 🇺🇸 on July 4, 2021",Verified Purchase,Great product. Like new!!,
Cindy J,5.0 out of 5 stars,Love Them,"Reviewed in the United States 🇺🇸 on July 3, 2021",Verified Purchase,Love them sound amazing,
Cody,5.0 out of 5 stars,There soooooooo good and there real,"Reviewed in the United States 🇺🇸 on September 16, 2021",Verified Purchase,,
Forrest,5.0 out of 5 stars,"Good Product, Even renewed","Reviewed in the United States 🇺🇸 on October 28, 2020",Verified Purchase,Lost my original pair and needed a replacement. The renewed product is perfect and worth the discount.,
Denise R.,1.0 out of 5 stars,Unprofessional/unorganized,"Reviewed in the United States 🇺🇸 on July 1, 2022",Verified Purchase,The original package did not have the renewed air buds in the package.I had to send the empty package back to get a replacement so my sons 21st birthday present was late. Disappointing. I Was also overcharged. I paid $197 when they should have been $150,
santiago aguilar sot,1.0 out of 5 stars,Mal producto,"Reviewed in the United States 🇺🇸 on October 18, 2022",Verified Purchase,"Producto incompleto, rayado y con fallas de sonido. Permiten devolución pero debo pagar un excedente, no lo recomiendo",
Caleb Chicohay,5.0 out of 5 stars,Great quality,"Reviewed in the United States 🇺🇸 on August 18, 2020",Verified Purchase,"Great product, excelente quality of finish and sound. Easy to connect to an iPhone and another device as laptop",
Mohmmad shanak,5.0 out of 5 stars,Good,"Reviewed in the United States 🇺🇸 on August 12, 2021",Verified Purchase,Good,
Frank,5.0 out of 5 stars,Excelente,"Reviewed in the United States 🇺🇸 on April 9, 2021",Verified Purchase,"Hasta ahora cumple con las expectativas, es perfecto",
Brandon Talbott,5.0 out of 5 stars,Works great!,"Reviewed in the United States 🇺🇸 on June 9, 2021",Verified Purchase,Like is brand new.,
andre b.,5.0 out of 5 stars,Great product,"Reviewed in the United States 🇺🇸 on June 21, 2021",Verified Purchase,Great sound and quality,
Bianca H.,5.0 out of 5 stars,Head phone,"Reviewed in the United States 🇺🇸 on June 26, 2021",Verified Purchase,I love them,
Cristian Coc,2.0 out of 5 stars,Compre unos Airpods Pro Renewal y están como nuevo,"Reviewed in the United States 🇺🇸 on November 25, 2021",Verified Purchase,"solo que la bateria no sirve lo cargue al 100% y apenas y me dura una hora de uso ahora entiendo porque alguien lo compro y lo devolvió, no recomiendo comprar pere es mi opción",
Leif Petterson,5.0 out of 5 stars,Great headphones,"Reviewed in the United States 🇺🇸 on April 26, 2021",Verified Purchase,Best in ear headphones I have tried!,
Kaleb,5.0 out of 5 stars,It’s great,"Reviewed in the United States 🇺🇸 on July 7, 2021",Verified Purchase,Very good device,
Curtis j.,5.0 out of 5 stars,Prefect fit,"Reviewed in the United States 🇺🇸 on July 13, 2021",Verified Purchase,Loving them,
Shimon H,2.0 out of 5 stars,BUY NEW,"Reviewed in the United States 🇺🇸 on February 10, 2021",Verified Purchase,I received the AirPods Pro on August 25th. Sometime in the middle of January the left one started buzzing. A brand new pair has a year warranty. I tried to return it to get fixed but apparently that window closed in November. Better to go with a new pair. I would definitely not recommend getting a renewed pair.,
Mareah Cathey,5.0 out of 5 stars,Great,"Reviewed in the United States 🇺🇸 on May 18, 2021",Verified Purchase,Great battery life and awesome sound,
Kevin brooks,5.0 out of 5 stars,Must buy,"Reviewed in the United States 🇺🇸 on February 23, 2021",Verified Purchase,Great product you wouldn’t even know they are renewed 5stars,
Ahjeawnna sterling,5.0 out of 5 stars,Great AirPod pros,"Reviewed in the United States 🇺🇸 on August 20, 2021",Verified Purchase,Good,
Juan Carlos Beltran,5.0 out of 5 stars,Excelente,"Reviewed in the United States 🇺🇸 on May 14, 2021",Verified Purchase,Excelente y sirve para Android tambien👍,
valorie,1.0 out of 5 stars,Terrible,"Reviewed in the United States 🇺🇸 on November 5, 2022",Verified Purchase,The sounds stops while listening sometimes it only plays in one ear,
Mario Garcia,5.0 out of 5 stars,Great,"Reviewed in the United States 🇺🇸 on November 22, 2020",Verified Purchase,I use this product for walking. I like that they are very good in sound.,
Mauricio Soraca Yepes,5.0 out of 5 stars,Llego antes de la fecha en buen estado 👍🏻,"Reviewed in the United States 🇺🇸 on May 17, 2021",Verified Purchase,La calidad del sonido es buena,
Octavia,5.0 out of 5 stars,U won’t regret it,"Reviewed in the United States 🇺🇸 on July 12, 2021",Verified Purchase,Love them,
EB,1.0 out of 5 stars,Doesn't work,"Reviewed in the United States 🇺🇸 on October 10, 2022",Verified Purchase,The right airpod doesn't work at all. Company said I can't return because I don't have the original box. Scammed.,One person found this helpful
Thomson Jack,5.0 out of 5 stars,Best purchase ever!!,"Reviewed in the United States 🇺🇸 on May 10, 2020",Verified Purchase,Best purchase this year. They have Wonderful sound quality and the only product people can truly hear my speak on my phone. Love them.,
mandour,5.0 out of 5 stars,Good Product,"Reviewed in the United States 🇺🇸 on July 27, 2021",Verified Purchase,Excellent,
Purchased,5.0 out of 5 stars,Okay for the price!,"Reviewed in the United States 🇺🇸 on June 5, 2021",Verified Purchase,Battery life seems off.,
macbeth,5.0 out of 5 stars,Love these,"Reviewed in the United States 🇺🇸 on August 4, 2021",Verified Purchase,Great,
Jonathan,5.0 out of 5 stars,Good product,"Reviewed in the United States 🇺🇸 on May 6, 2021",Verified Purchase,I like how loud they are,
Gsquared,5.0 out of 5 stars,Bad iPod pros,"Reviewed in the United States 🇺🇸 on December 18, 2020",Verified Purchase,The iPods have a static sound and are not able to be used.,One person found this helpful
Dominique,5.0 out of 5 stars,Good sound quality,"Reviewed in the United States 🇺🇸 on July 3, 2021",Verified Purchase,Sound very good,
Gracie Price,4.0 out of 5 stars,good,"Reviewed in the United States 🇺🇸 on March 6, 2020",Verified Purchase,Good,
reviathan,5.0 out of 5 stars,good,"Reviewed in the United States 🇺🇸 on August 6, 2021",Verified Purchase,good,
Andrew L McCoy,5.0 out of 5 stars,Great Deal!,"Reviewed in the United States 🇺🇸 on June 4, 2021",Verified Purchase,Works great perfect fit.,
gustavo,5.0 out of 5 stars,airpods,"Reviewed in the United States 🇺🇸 on July 9, 2021",Verified Purchase,buen producto,
Marcy Streich,1.0 out of 5 stars,Never received airpod pros. just empty box and charger cable.,"Reviewed in the United States 🇺🇸 on November 25, 2022",Verified Purchase,,
Robert,5.0 out of 5 stars,excellent,"Reviewed in the United States 🇺🇸 on July 8, 2021",Verified Purchase,perfect conditions,
Ricardo,5.0 out of 5 stars,Excelente producto,"Reviewed in the United States 🇺🇸 on July 17, 2021",Verified Purchase,Excelente producto,
Mohammad Atta Alhosria,5.0 out of 5 stars,Perfect 😍,"Reviewed in the United States 🇺🇸 on April 9, 2021",Verified Purchase,So high quality . Suggested 😍,
Scott Wise,5.0 out of 5 stars,Great !,"Reviewed in the United States 🇺🇸 on April 11, 2021",Verified Purchase,They look and work like new.,
William Owen,5.0 out of 5 stars,Outstanding,"Reviewed in the United States 🇺🇸 on March 24, 2021",Verified Purchase,Just as promised. Noise cancellation is really impressive.,
Jasmine Quinones,5.0 out of 5 stars,Good quality sound..,"Reviewed in the United States 🇺🇸 on April 26, 2021",Verified Purchase,My son absolutely loves them!,
Delon27,5.0 out of 5 stars,Good,"Reviewed in the United States 🇺🇸 on July 13, 2021",Verified Purchase,Good,
Angel dovie,5.0 out of 5 stars,Work great!,"Reviewed in the United States 🇺🇸 on June 29, 2021",Verified Purchase,Work really good,
Heather Price,5.0 out of 5 stars,WOW,"Reviewed in the United States 🇺🇸 on May 18, 2021",Verified Purchase,Phenomenal sound quality and features,
Yecart1997,2.0 out of 5 stars,Used battery. No good!!,"Reviewed in the United States 🇺🇸 on March 5, 2022",Verified Purchase,Just got them. Look new. Fully charged and the battery lasted 1.5 hours!!!!!!!!,
Ydalia Anzualda,1.0 out of 5 stars,This item SUCKS!!!!!,"Reviewed in the United States 🇺🇸 on July 29, 2021",Verified Purchase,"Amazon has given me the run arounds about receiving my refund after I returned the item a DAY later. DO NOT BUY!!!! They were bought and given as a gift and embarrassingly DO NOT WORK!!! Amazon now is taking FOREVER and lying to refund my order so I can purchase new ones through another company!!! DO NOT BUY!!!!! You think you get a good deal and the item is what it says “renewed” with static and DOES NOT WORK!!!!!! Never will I try to purchase an electronic through Amazon at a cheaper rate, it IS NOT WORTH IT!!!!",3 people found this helpful
Josue merlos,5.0 out of 5 stars,You should my this,"Reviewed in the United States 🇺🇸 on September 1, 2020",Verified Purchase,You should buy this is I was so happy when I get then they are so Worth it,
Ally,3.0 out of 5 stars,Ok,"Reviewed in the United States 🇺🇸 on March 12, 2021",Verified Purchase,A lot of static,
tristin,5.0 out of 5 stars,Excelante,"Reviewed in the United States 🇺🇸 on February 27, 2021",Verified Purchase,Good came in original apple box with no scratches.,
Carlos Londono,5.0 out of 5 stars,AirPods Pro,"Reviewed in the United States 🇺🇸 on February 28, 2021",Verified Purchase,"Excelente producto, buen sonido, fácil enlace que con iPhone",
Haley,1.0 out of 5 stars,It’s ok,"Reviewed in the United States 🇺🇸 on November 24, 2022",Verified Purchase,It’s ok,
Karri Sample,1.0 out of 5 stars,Seller sold item that doesn’t work and has refunded us yet,"Reviewed in the United States 🇺🇸 on June 13, 2022",Verified Purchase,"The AirPod case was cracked and glued back together nor did one of the AirPods work. I returned the item and the tracking information shows it was delivered to the seller weeks ago, we still haven’t received a refund.
DO NOT BUY FEOM THIS SELLER!!!!",
ralph j ward,4.0 out of 5 stars,Sound,"Reviewed in the United States 🇺🇸 on February 20, 2020",Verified Purchase,Sound,
Alex Portillo,5.0 out of 5 stars,Amazing,"Reviewed in the United States 🇺🇸 on May 6, 2021",Verified Purchase,Best Product I’ve Used!,
Tracy Clayton,5.0 out of 5 stars,Like new,"Reviewed in the United States 🇺🇸 on May 5, 2021",Verified Purchase,Great price like new.,
gustavo arias,5.0 out of 5 stars,Muy satifecho,"Reviewed in the United States 🇺🇸 on May 25, 2021",Verified Purchase,Muy buen sonido 👌,
Amazon Customer,5.0 out of 5 stars,Noise cancellation is the best thing ever...,"Reviewed in the United States 🇺🇸 on February 24, 2020",Verified Purchase,I can turn on the noise cancel and shoot my pistol and its quiet... I love these things. They make my 3 loud kids not be so loud!!,
Tiandra,5.0 out of 5 stars,Great!!!love them,"Reviewed in the United States 🇺🇸 on July 2, 2021",Verified Purchase,Awesome purchase,
Janine,5.0 out of 5 stars,Love my pros,"Reviewed in the United States 🇺🇸 on February 13, 2021",Verified Purchase,I love love love my Pros they are awesome,
jt villalobos,5.0 out of 5 stars,Excellent refurbished product,"Reviewed in the United States 🇺🇸 on October 21, 2020",Verified Purchase,"Came in pristine condition. After a month of use, everything has been working perfectly",One person found this helpful
Perry,5.0 out of 5 stars,Great,"Reviewed in the United States 🇺🇸 on June 10, 2021",Verified Purchase,Noise cancellation,
Kimberly Adkins,1.0 out of 5 stars,Do Not Purchase Renewed Products -,"Reviewed in the United States 🇺🇸 on July 25, 2022",Verified Purchase,"Airpods initially acted as if new, lasted about a month or so. Now, they can't connect and when they do connect batteries are at 0% and I have no recourse. Expensive lesson!",
Lexi,5.0 out of 5 stars,Worth it,"Reviewed in the United States 🇺🇸 on February 5, 2021",Verified Purchase,Perfect just like brand new! So worth it!,
Julie K.,5.0 out of 5 stars,Fabulous,"Reviewed in the United States 🇺🇸 on July 6, 2021",Verified Purchase,Fabulous,
Nanci Hernandez,5.0 out of 5 stars,Great buy,"Reviewed in the United States 🇺🇸 on June 8, 2021",Verified Purchase,Works great!,
Zeus,5.0 out of 5 stars,Great Quality,"Reviewed in the United States 🇺🇸 on April 21, 2021",Verified Purchase,"works like new, sound great",
Chase Willden,5.0 out of 5 stars,Excellent quality,"Reviewed in the United States 🇺🇸 on April 9, 2021",Verified Purchase,"Excellent quality, clean, very nice work!",
Amazon Customer,5.0 out of 5 stars,CANT BEAT IT FOR THE PRICE!!!,"Reviewed in the United States 🇺🇸 on April 28, 2021",Verified Purchase,Awesome!!!! Came earlier than expected!!!!,
Hollie Allred,5.0 out of 5 stars,Amazing,"Reviewed in the United States 🇺🇸 on January 14, 2021",Verified Purchase,Very good sounds quality and noise cancellation is awesome.,
Brad McElfish,5.0 out of 5 stars,Sounds great,"Reviewed in the United States 🇺🇸 on May 24, 2021",Verified Purchase,Sound is great,
Joseb116,5.0 out of 5 stars,Great Condition,"Reviewed in the United States 🇺🇸 on March 30, 2021",Verified Purchase,Was as advertised! Hardly any blemishes.,
Hnidanstrong,1.0 out of 5 stars,BAD BATTERY,"Reviewed in the United States 🇺🇸 on September 23, 2022",Verified Purchase,"Battery works only 15 min ! I charge them 5 times , same thing, full battery 15 min maybe even less",
Mike,1.0 out of 5 stars,"You aren't saving money. These are scam products, not renewed or checked. Broken or fake.","Reviewed in the United States 🇺🇸 on February 14, 2021",Verified Purchase,"Airpods could not stay paired for more than a few seconds. Guess the Amazon Renewed inspection lasts <5 seconds.
Right airpod did not work at all, dead in box. Guess the Amazon Renewed inspection only tested how they sound while muted.
Entire case and airpods were disgusting - earwax overload. Guess the Amazon Renewed inspection was done in a pitch black room.
Order ended up coming from ""Bargain Pc"". I'm refunding it. Nobody should ever consider business with them. A quick scan of their store page reveals them flooding ""Amazon Renewed"" with tons of reviews of broken or fake products. How they're still allowed to operate on Amazon is beyond me.",2 people found this helpful
Gustavo,5.0 out of 5 stars,Recomendado,"Reviewed in the United States 🇺🇸 on June 5, 2021",Verified Purchase,Todo bien,
Alvaro Godoy,5.0 out of 5 stars,Funciona bien.,"Reviewed in the United States 🇺🇸 on June 5, 2021",Verified Purchase,Todo bien,
Mark Zou,1.0 out of 5 stars,"Don’t buy, doesn’t work. Wastes money and shipping","Reviewed in the United States 🇺🇸 on August 29, 2022",Verified Purchase,"The left renewed AirPod doesn’t work. Keeps on having noise coming out of it whenever it’s in the ear, doesn’t work good at all",
maria luisa raley,5.0 out of 5 stars,Great,"Reviewed in the United States 🇺🇸 on June 15, 2021",Verified Purchase,Work’s great,
Amazon Customer,3.0 out of 5 stars,Great earbud...But,"Reviewed in the United States 🇺🇸 on April 5, 2020",Verified Purchase,"Great product and service... BUT, what I didn’t like is that I bought it and a day later tge price dropped by $20",
Donnie,1.0 out of 5 stars,Still defective,"Reviewed in the United States 🇺🇸 on July 1, 2022",Verified Purchase,The AirPods are still defective and do not hold a charge. They will go from 100% to 0%. Also no refund option so I would not buy from this seller unless you like throwing away money.,
Mel,5.0 out of 5 stars,Buen producto (renovado),"Reviewed in the United States 🇺🇸 on March 9, 2021",Verified Purchase,"Buena calidad, bateria duradera y sonido nitido!",
Tandy Garrett,5.0 out of 5 stars,They are the real things,"Reviewed in the United States 🇺🇸 on February 7, 2020",Verified Purchase,I love the fact that they actually work and are actually the real brand AirPods but the packaging could be better but over all they are great!,
Adrian,5.0 out of 5 stars,!,"Reviewed in the United States 🇺🇸 on June 10, 2021",Verified Purchase,Nice,
Michael,5.0 out of 5 stars,Awesome,"Reviewed in the United States 🇺🇸 on March 20, 2021",Verified Purchase,Exactly what I expected !,
George Ondrejka,5.0 out of 5 stars,"Renewed, but looked and felt brand new","Reviewed in the United States 🇺🇸 on April 10, 2021",Verified Purchase,They looked brand new,
Michele Westfall,5.0 out of 5 stars,Great Christmas Gift!,"Reviewed in the United States 🇺🇸 on December 26, 2019",Verified Purchase,I ordered these as a Christmas gift. It says renewed but it looks and sounds like brand new. Great sound. Great noise cancellation. These are with the wireless charging case.,150 people found this helpful
Edith,5.0 out of 5 stars,Worth the money,"Reviewed in the United States 🇺🇸 on March 18, 2021",Verified Purchase,"Great sound quality, noise cancellation awesome",
John Orange,5.0 out of 5 stars,Improved,"Reviewed in the United States 🇺🇸 on March 11, 2021",Verified Purchase,Much better than the original,
Christian v,1.0 out of 5 stars,they look fine but dont work,"Reviewed in the United States 🇺🇸 on October 10, 2022",Verified Purchase,Noise cancellation doesnt work at all and the speakers crackle before its even halfway turned up,One person found this helpful
dan,5.0 out of 5 stars,Just like the description,"Reviewed in the United States 🇺🇸 on May 13, 2021",Verified Purchase,"Good quality, thanks.",
Pablo,1.0 out of 5 stars,ESTAFADO,"Reviewed in the United States 🇺🇸 on September 10, 2022",Verified Purchase,"Eso está bien pero dejaron de funcionar al siguiente día así que le
Doy una estrella ⭐️ por el mal servicio",
perrycam009,1.0 out of 5 stars,Horrible,"Reviewed in the United States 🇺🇸 on November 25, 2020",Verified Purchase,"Why do they sound like I bought a pair of scull candy earbuds at the dollar store. These were the biggest pieces of you know what and without knowing the price you could say these are maybe 40$ max. Horrible sound quality. Outrageous price for renewed AirPod pros when you can get a brand new pair for under 130$. Also, how when these were renewed new audio supplements were put into the earbud. Not the original apple audio product but after market price of once again that maybe cost you 15$ to buy and build. When compared to AirPod pros from the apple store themselves, they sound so incredibly different it’s hilarious. Very poor effort, but at least you tried.",7 people found this helpful
Bo Larry,5.0 out of 5 stars,Satisfied customer,"Reviewed in the United States 🇺🇸 on May 27, 2021",Verified Purchase,Awesome quality,
kc7387,5.0 out of 5 stars,Good buy,"Reviewed in the United States 🇺🇸 on April 22, 2021",Verified Purchase,I love them!,
Amazon Customer,5.0 out of 5 stars,Great quality,"Reviewed in the United States 🇺🇸 on March 18, 2021",Verified Purchase,Great product with excellent sound quality,
Daniel L.,1.0 out of 5 stars,Buzzing in right airpod,"Reviewed in the United States 🇺🇸 on April 10, 2022",Verified Purchase,"Like a lot of other people mentioned, my product was defected and was not renewed. The right airpod had a buzzing/ crackling right off the bat when noise cancellation or transparency was activated. If you want to take the risk of having a faulty product, then spending less might be worth it. However, I returned my product and decided to just buy a new pair for 20 dollars or so more.",
Y.L.,1.0 out of 5 stars,Extremely loud crackling noise in the right earbud.,"Reviewed in the United States 🇺🇸 on May 17, 2021",Verified Purchase,"Every time I talk or listen to some music, the buzzing would come back to the right earbud. It's unfortunate, I thought since it was renewed they would look over these earbuds. Apparently not. Also, the earbuds were named as, ""Bryan's Airpods Pro"". Kind of weird that they would keep that in and not reset it. The airpods themselves came covered in a white residue and the paint was chipping off of the case. Usually when I get renewed technology, they never come in terrible shape so I was also confident in this one as well. Definitely going to return these.",One person found this helpful
Zachary Pope,5.0 out of 5 stars,Good deal,"Reviewed in the United States 🇺🇸 on May 26, 2021",Verified Purchase,Good deal,
Yvonne,1.0 out of 5 stars,Broken in box.,"Reviewed in the United States 🇺🇸 on March 24, 2021",Verified Purchase,"I do not like leaving bad reviews, but this is a bit ridiculous, even for me.
They were non-functional on arrival. They wouldn't turn on, and the case wouldn't charge. There was a considerable amount of black grime (I'm assuming accumulated dirt) in the smaller nooks and crannies strewn about the case. Just about the only clean thing was the pods themselves, but I never got the chance to use them, for the reason I stated above. It may be that I ended up with a one-in-a-million fluke dud product, but judging by some of the other reviews I'm guessing that's not the case. Buyer beware!",2 people found this helpful
Levi,1.0 out of 5 stars,Fake!,"Reviewed in the United States 🇺🇸 on October 27, 2022",Verified Purchase,These are fake and not renewed apple AirPods!,
Nakosha Smith,5.0 out of 5 stars,Great sound!,"Reviewed in the United States 🇺🇸 on March 20, 2021",Verified Purchase,I love the sound quality.,
Eddie Jones Jr.,2.0 out of 5 stars,Awful,"Reviewed in the United States 🇺🇸 on March 31, 2021",Verified Purchase,I was excited to get my pods it realized the had arrived and no one knew where they were. Delivery was three day late. Then I unboxed them to find out the box wouldn’t charge. After two days the pods wouldn’t charge either. So so disappointed,
Mr. Parry,5.0 out of 5 stars,NOT FAKE,"Reviewed in the United States 🇺🇸 on November 4, 2020",Verified Purchase,It is amazing. And relatively cheap when compared from buying off apple.,
Jack Rostas,5.0 out of 5 stars,Where have these been all my life,"Reviewed in the United States 🇺🇸 on February 27, 2021",Verified Purchase,"Perfect, use almost daily. Recommend highly",
Sydney James,5.0 out of 5 stars,Another Happy Purchase!,"Reviewed in the United States 🇺🇸 on June 17, 2020",Verified Purchase,"Product came with original box, earbuds and lighting charger cable. It’s works perfectly! Definitely worth the price! 100% satisfied!",
ATLBride921,5.0 out of 5 stars,Perfect refurbished,"Reviewed in the United States 🇺🇸 on May 13, 2021",Verified Purchase,Absolutely perfect,
Mike A Tano,5.0 out of 5 stars,Excellent,"Reviewed in the United States 🇺🇸 on May 25, 2021",Verified Purchase,Outstanding,
Kai Belmore,5.0 out of 5 stars,Air Pods Pro,"Reviewed in the United States 🇺🇸 on January 5, 2021",Verified Purchase,It amazing wouldn’t have thought it was renewed 🖤🖤🖤,
Stacie Russell,5.0 out of 5 stars,Why it didn’t come with a wall piece I had to go buy one.,"Reviewed in the United States 🇺🇸 on May 1, 2021",Verified Purchase,I like it,
Mobeman,5.0 out of 5 stars,They be booming 10/10 buy these,"Reviewed in the United States 🇺🇸 on March 16, 2021",Verified Purchase,These mugs be booming 10/10,
Emmanuel Masango,1.0 out of 5 stars,Product did not work,"Reviewed in the United States 🇺🇸 on September 2, 2022",Verified Purchase,The AirPods did not work at all. I sent them back for a refund but I am still waiting 12 days later.,
Lonessa Collett Miles,1.0 out of 5 stars,AirPods wasn’t in box,"Reviewed in the United States 🇺🇸 on May 16, 2022",Verified Purchase,I would love to tell you but I received a box with a charger only 🤷🏼‍♀️ I’ve got a refund started so I’ll update to how that goes. As of now beware. (I hate leaving bad reviews but I hate paying for something I don’t receive even more).,
xochitl,5.0 out of 5 stars,Works great glad i bought them,"Reviewed in the United States 🇺🇸 on April 3, 2021",Verified Purchase,Amazing works great,
Tj,1.0 out of 5 stars,The AirPods themselves were not in the box,"Reviewed in the United States 🇺🇸 on November 6, 2022",Verified Purchase,So upset requesting return,
